uniqueID,Booking_Date,predicted
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2025-02-28,756.2727184829408
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-03-31,6105.839634156007
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-04-30,4874.338185256868
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-05-31,4865.15283230759
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-06-30,6068.524137799564
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-07-31,4844.485788171714
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-08-31,4835.300435222436
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-09-30,6031.208641443122
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-10-31,4814.63339108656
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-11-30,4805.448038137281
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2024-12-31,5993.893145086679
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2025-01-31,4784.780994001406
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__eggs white,2025-02-28,4775.595641052128
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-03-31,584.1682104432448
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-04-30,454.09478808448586
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-05-31,442.3260945110548
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-06-30,536.357892801181
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-07-31,415.8465339708349
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-08-31,404.07784039740386
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-09-30,488.5475751591174
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-10-31,377.59827985718397
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-11-30,365.8295862837529
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2024-12-31,440.7372575170537
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2025-01-31,339.350025743533
ADAGIO__F&B Kitchen__LS - Dairy Products Fresh__yoghurt,2025-02-28,327.581332170102
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-03-31,947.369231837327
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-04-30,817.6730319306971
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-05-31,870.808717673662
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-06-30,1163.2329551681219
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-07-31,990.3640105953331
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-08-31,1043.499696338298
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-09-30,1379.0966784989168
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-10-31,1163.0549892599693
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-11-30,1216.190675002934
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2024-12-31,1594.960401829712
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2025-01-31,1335.745967924605
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__brie cheese,2025-02-28,1388.88165366757
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-03-31,465.1622337523778
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-04-30,391.31511674765517
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-05-31,408.3687431883244
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-06-30,534.4425911675966
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-07-31,446.73940267983016
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-08-31,463.79302912049945
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-09-30,603.7229485828154
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-10-31,502.1636886120052
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-11-30,519.2173150526744
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2024-12-31,673.0033059980342
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2025-01-31,557.5879745441803
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__burrata cheese,2025-02-28,574.6416009848494
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-03-31,1253.3302515274283
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-04-30,1062.409476163939
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-05-31,1115.5163872234914
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-06-30,1469.0770777068597
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-07-31,1235.0069371074842
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-08-31,1288.1138481670364
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-09-30,1684.8239038862907
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-10-31,1407.604398051029
ADAGIO__F&B Kitchen__LS - Dairy products chilled/frozen__butter,2024-11-30,1460.7113091105814
